question,removed_token,token_impact_score,original_score,new_score,score_flip,original_rag_answer,perturbed_answer
What are the two fundamental materials used in Ethereal 'Ghost-Nets'?,none,1.0,1,1,NO,"""Spirit-Thread"" and ""Phantom-Wire""",'Spirit-Thread' and 'Phantom-Wire'
What two distinct abilities do Celestian 'Star-Singers' possess?,none,1.0,1,1,NO,"Celestian 'Star-Singers' possess the abilities to weave 'Harmony-Threads' from cosmic vibrations to create tangible musical constructs and to 'Echo-Call' across vast distances, communicating through stellar resonance.",Celestian 'Star-Singers' possess the abilities to weave 'Harmony-Threads' from cosmic vibrations and to 'Echo-Call' across vast distances.
What two functions does the Mystic 'Dream-Weaver's Loom' perform?,none,1.0,1,1,NO,"The Mystic 'Dream-Weaver's Loom' performs the following two functions:
1. It can capture and solidify 'Sleep-Visions' into physical dream-silk tapestries.
2. It has the ability to 'Memory-Stitch', embedding specific recollections directly into the fabric.","The Mystic 'Dream-Weaver's Loom' performs the following two functions:
1. Capture and solidify 'Sleep-Visions' into physical dream-silk tapestries.
2. 'Memory-Stitch', embedding specific recollections directly into the fabric."
What are the two primary elements used in Prismarian 'Light-Forging'?,none,1.0,1,1,NO,Rainbow-Essence and Photon-Hammers,'Rainbow-Essence' and 'Photon-Hammers'
What are the two fundamental components of Astral 'Mind-Bridges'?,none,1.0,1,1,NO,'Thought-Cables' and 'Consciousness-Nodes','Thought-Cables' and 'Consciousness-Nodes'
What two abilities do Solarian 'Sun-Dancers' manifest?,none,1.0,1,1,NO,"""Solar-Ribbons"" and ""Radiance-Bursts""",'Solar-Ribbons' and 'Radiance-Bursts'
What are the two core materials in Resonant 'Harmony-Bells'?,none,1.0,1,1,NO,Song-Bronze and Echo-Gems,Song-Bronze and Echo-Gems
What two functions does the Temporal 'Flux-Anchor' device serve?,none,1.0,1,1,NO,"The Temporal 'Flux-Anchor' device serves two functions: creating 'Time-Locks' that prevent temporal manipulation in a localized area, and generating 'Chronos-Pulses' that can slow or accelerate time flow within its range.",The Temporal 'Flux-Anchor' device serves two functions: creating 'Time-Locks' that prevent temporal manipulation in a localized area and generating 'Chronos-Pulses' that can slow or accelerate time flow within its range.
What two abilities do Phantom 'Wraith-Riders' possess while mounted?,none,1.0,1,1,NO,"""Phase-Gallops"" and ""Spirit-Charges""",'Phase-Gallops' and 'Spirit-Charges'
What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest?,none,1.0,1,1,NO,"The water from the Font of Resonance possesses a unique property: it resonates with psionic energy, amplifying the mental abilities of those who drink it.",The water from the Font of Resonance amplifies the mental abilities of those who drink it.
