id,question,answer
19,When did Jean Martin (Singer)'s husband die?,"William Black (c. 1902 – March 7, 1983) was an American businessman and philanthropist who founded Chock full o'Nuts."
20,"Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?","Thomas Carr( July 4, 1907 – April 23, 1997) was an American actor and film director of Hollywood movies and television programs."
21,"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?","The Ballad of Josie is a 1967 Technicolor American comedy western film directed by Andrew V. McLaglen and starring Doris Day, Peter Graves and George Kennedy."
22,What nationality is the director of film World And Time Enough?,"Enough is a 1994 independent gay-themed romantic comedy-drama written and directed by Eric Mueller and starring Gregory Giles, Matt Guidry and Kraig Swartz."
23,"Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?","The Machine to Kill Bad People( Italian: La Macchina ammazzacattivi) is a 1952 Italian fantasy comedy film directed by Roberto Rossellini and featuring Marilyn Buferd, William Tubbs and Clara Bindi."
24,"Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?","Richard O. Fleischer( December 8, 1916 – March 25, 2006) was an American film director known for such movies as"" The Narrow Margin""( 1952),"" 20,000 Leagues Under the Sea""( 1954),"" Fantastic Voyage""( 1966), the Oscar- award winning musical film"" Doctor Dolittle""( 1967) and"" Soylent Green""( 1973)."
25,"Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?","She was the wife of John, Count Palatine of Neumarkt and the mother of Christopher of Bavaria, who would rule over Denmark, Sweden, and Norway as king of the Kalmar Union."
26,Who is Marie Zéphyrine Of France's paternal grandmother?,"Louis, Dauphin of France (4 September 1729 – 20 December 1765) was the elder and only surviving son of King Louis XV of France and his wife, Queen Marie Leszczyńska."
27,"Which film has the director died earlier, Condemned Women or Faces In The Dark?","Faces in the Dark is a 1960 British thriller film directed by David Eady and starring John Gregson, Mai Zetterling and John Ireland."
28,Who is the spouse of the director of film Eden And After?,Eden and After  is a 1970 French-Czechoslovak drama art film directed by Alain Robbe-Grillet.
29,Where was the place of death of Anastasia Of Serbia's husband?,"Together with his son Sava, Nemanja restored the Hilandar Monastery at Mount Athos from 1198–1199, and issued the ""Charter of Hilandar""."
30,Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?,"The Tiger( also known as"" The Tiger: An Old Hunter's Tale"",; lit."" Big Tiger"") is a 2015 South Korean period action drama film about a hunter prepared to kill the last tiger of Joseon."
31,"Which film was released more recently, Lo Zappatore or Placer Sangriento?",Lo Zappatore is a 1950 Italian film directed by Rate Furlan.
32,Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?,"Loïc Gwenc'hlan Le Scouëzec( 11 November 1929, Plouescat, Finistère – 6 February 2008) was a Breton writer and Grand Druid of Brittany."
33,"Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?","T. V. Chandran( born 23 November 1950) is an Indian film director, screenwriter, and actor, predominantly working in Malayalam cinema."
34,Who is Cornelia (Wife Of Caesar)'s child-in-law?,"Cornelia (c. 97 – c. 69 BC) was the first or second wife of Caesar, and the mother of his only daughter, Julia."
35,Why did John Middleton Murry's wife die?,"A prominent critic, Murry is best remembered for his association with Katherine Mansfield, whom he married in 1918 as her second husband, for his friendship with D. H. Lawrence and T. S. Eliot, and for his friendship (and brief affair) with Frieda Lawrence."
36,Who is the paternal grandfather of Taj Al-Dawla?,"The son of Rukn al-Dawla, Fanna Khusraw was given the title of Adud al-Dawla by the Abbasid caliph in 948 when he was made emir of Fars after the death of his childless uncle"
37,Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?,"Curtis Bernhardt( 15 April 1899 – 22 February 1981) was a German film director born in Worms, Germany, under the name Kurt Bernhardt."
38,What is the place of birth of the director of film And The Spring Comes?,"Gu was born in Xi'an, Shaanxi in the People's Republic of China."
39,"Who died first, Madame Pasca or James A. Donohoe?","Alice Marie Angèle Pasquier (November 16, 1833 – May 25, 1914), better known by her stage name Madame Pasca and also known as Alix-Marie Pasquier, was a French stage actress."
40,"Who was born later, D'Arcy Coulson or Thomas William Adams?","John D' Arcy Coulson( February 17, 1908 – April 13, 1996) was a Canadian professional ice hockey defenceman who played one season in the National Hockey League for the Philadelphia Quakers."
41,Are Simonds Catholic College and Saginaw High School (Texas) both located in the same country?,"The school is named after Justin Simonds, the first ever Australian born Archbishop who served as Archbishop of Melbourne from 1963- 67."
42,Which country Prince Nikolaus Wilhelm Of Nassau's mother is from?,"Princess ""Pauline"" Friederike Marie of Württemberg, full German name: ""Pauline Friederike Marie, Prinzessin von Württemberg"" (25 February 1810, Stuttgart, Kingdom of Württemberg – 7 July 1856, Wiesbaden, Duchy of Nassau) was a member of the House of Württemberg and a Princess of Württemberg by birth."
43,"Which film whose director was born first, 45 Fathers or The Intended?","45 Fathers is a 1937 American comedy film directed by James Tinling, written by Frances Hyland and Albert Ray, and starring Jane Withers, Thomas Beck, Louise Henry, Richard Carle, Nella Walker and Andrew Tombes."
44,"Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?","Son of Louis-Alexandre Berthier, 1st Prince of Wagram, and Duchess Maria Elisabeth in Bavaria (and by his mother, grandnephew of King Maximilian I of Bavaria)."
45,Where was the husband of Caterina Visconti born?,"Caterina Visconti (1361 – 17 October 1404) was Duchess of Milan as the second spouse of Gian Galeazzo Visconti, the first Duke of Milan, and was the mother of two succeeding Dukes of Milan, Gian Maria and Filippo Maria Visconti."
46,"Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?","Elio Petri( 29 January 1929 – 10 November 1982) was an Italian political filmmaker best known for the 1970 Academy Award- winning film"" Investigation of a Citizen Above Suspicion""."
47,"Who was born first, John Beach or Gordon Persons?","Seth Gordon Persons( February 5, 1902 – May 29, 1965) was an American Democratic politician who was the 43rd Governor of Alabama from 1951 to 1955."
48,"Which film has the director born earlier, The House By The Cemetery or Charlie Chan In Honolulu?","H. Bruce"" Lucky"" Humberstone( November 18, 1901 – October 11, 1984) was a movie actor( as a child), a script clerk, an assistant director, working with directors such as King Vidor, Edmund Goulding and Allan Dwan and, ultimately, a director."
49,Who is the child of the director of film La Leona (Film)?,La Leona is a 1964 Argentine film directed by and starring Armando Bo with Isabel Sarli.
50,Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?,"Blanche of Portugal (25 February 1259 in Santarém, – 17 April 1321 in Burgos; Branca in Portuguese and Blanca in Spanish), was an ""infanta"", the firstborn child of King Afonso III of Portugal and his second wife Beatrice of Castile."
51,"Who lived longer, Giuseppe Cesari or Nicos Poulantzas?","( February 1568 – 3 July 1640) was an Italian Mannerist painter, also named Il Giuseppino and called Cavaliere d' Arpino, because he was created"" Cavaliere di Cristo"" by his patron Pope Clement VIII."
52,Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?,"Nights on the Road is a 1952 West German drama film directed by Rudolf Jugert and starring Hans Albers, Hildegard Knef and Lucie Mannheim."
53,"Who is older, Aryeh Ben-Eliezer or Jason Pociask?","Aryeh Ben-Eliezer( 16 December 1913 – 29 January 1970) was a Revisionist Zionist leader, Irgun member and Israeli politician."
54,Where does the director of film Man At Bath work at?,Man at Bath  is a 2010 French film by Christophe Honoré starring François Sagat and Chiara Mastroianni.
55,"Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?","Arran was the son of Sir Arthur Gore, 2nd Baronet, and Elizabeth Annesley, and was educated at Trinity College, Dublin."
56,Are both Kaufland and Otrag located in the same country?,"OTRAG( or), was a German company based in Stuttgart, which planned in the late 1970s and early 1980s to develop an alternative propulsion system for rockets."
57,"Which film came out earlier, Aanaval Mothiram or Heroes Of The Street?",Heroes of the Street is a 1922 American silent crime drama film directed by William Beaudine.
58,Where was the father of Lord Patrick Crichton-Stuart born?,", he was the second son of John Stuart, Lord Mount Stuart, eldest son of John Stuart, 1st Marquess of Bute, son of Prime Minister John Stuart, 3rd Earl of Bute."
59,Which country the director of film Daadagiri is from?,"Daadagiri is a 1997 Bollywood film directed by Arshad Khan starring Mithun Chakraborty, Ayub Khan, Simran, Rituparna Sengupta in lead roles and Puneet Issar, Nishigandha Wad, Shakti Kapoor and Kader Khan."
60,Where was the wife of Douglas Leiterman born?,"Beryl Fox (born December 10, 1931 in Winnipeg, Manitoba) is a Canadian documentary film director and film producer."
61,What is the place of birth of the performer of song Who...?,"Born and raised in Fukuoka, Fukuoka Prefecture, Hamasaki moved to Tokyo at fourteen in 1993 to pursue a career in singing and acting."
62,Where was the place of death of the director of film Mole Men Against The Son Of Hercules?,"Mole Men Against the Son of Hercules (/ ""Maciste, the Strongest Man in the World"") is a 1961 Italian ""peplum"" film directed by Antonio Leonviola and starring Mark Forest."
63,Where was the father of Alexandre Gaydamak born?,"Arcadi Aleksandrovich Gaydamak (born 8 April 1952 in Moscow, USSR) is a Russian-born French-Israeli businessman, philanthropist, and President of the Congress of Jewish Religious Communities and Organizations of Russia (KEROOR)."
64,"Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?","Maurits Binger (5 April 1868 – 9 April 1923) was a Dutch film director, producer and screenwriter of the silent era."
65,"Who is Gaston, Duke Of Orléans's paternal grandmother?","The son of Antoine de Bourbon, Duke of Vendôme and Jeanne d'Albret, the Queen of Navarre, Henry was baptised as a Catholic but raised in the Protestant faith by his mother."
66,Where was the director of film The Half-Way Girl born?,The Half-Way Girl is a 1925 American silent drama film directed by John Francis Dillon that was filmed around the Jersey Shore.
67,Who is the father-in-law of Sophia Of Wittelsbach?,"Count Palatine of Saxony, was the second son of Louis II, Landgrave of Thuringia (""the Iron""), and Judith of Hohenstaufen, the sister of Emperor Frederick Barbarossa."
68,"Where was the place of death of Lambert I, Count Of Louvain's father?","As Reginar refused to submit, he was exiled to Bohemia, where he died."
69,Where was the director of film Highway Dragnet born?,"Naftuli ""Nathan"" Hertz Juran (Gura Humorului – , Palos Verdes Estates, California, USA) was an American film art director, and later film and television director."
70,Where did Prince Gustav Of Thurn And Taxis (1848–1914)'s mother die?,"Mathilde Sophie, Prinzessin zu Oettingen-Oettingen und Oettingen-Spielberg""; 9 February 1816, Oettingen, Kingdom of Bavaria– 20 January 1886, Obermais, Meran, County of Tyrol, Austria–Hungary) was a member of the Princely House of Oettingen-Spielberg and a Princess of Oettingen-Oettingen and Oettingen-Spielberg by birth."
71,What is the award that the performer of song Sunday Papers earned?,"""Sunday Papers"" is a song written and performed by British new wave musician Joe Jackson."
72,"Which film has the director born first, Antonieta or Dodging The Dole?","Dodging the Dole is a 1936 British musical comedy film directed by John E. Blakeley and starring Roy Barbour, Dan Young and Jenny Howard."
73,Are both Nikolsk Airport and Svobodny Airport located in the same country?,Nikolsk( also listed as Nikolsk South) is an airport in Russia located 5 km southeast of Nikolsk in Vologda Oblast.
74,"Who is the maternal grandfather of Amadeus Vii, Count Of Savoy?","Bonne of Bourbon (1341 – 19 January 1402) was a daughter of Peter I, Duke of Bourbon, and Isabella of Valois, and hence a sister of Joanna of Bourbon."
75,"Are both businesses, Telus and Ztr Control Systems, located in the same country?","Telus Communications( stylized as TELUS) is a Canadian national telecommunications company that provides a wide range of telecommunications products and services including internet access, voice, entertainment, healthcare, video, and IPTV television."
76,"Do both films, Dial M For Murder and Marius (1931 Film), have the directors who are from the same country?","Born in Hungary, where he began his career, he worked briefly in the Austrian and German film industries during the era of silent films, before being based in Hollywood from 1926 to 1930 for the first of his two brief periods there( the other was during World War II)."
77,"Who is older, Dyson Parody or Gene Watson?",Dyson Parody( born 7 August 1984) is a Gibraltarian professional darts player.
78,Are both directors of films The Princess Bride (Film) and I Never Sang For My Father from the same country?,"The Princess Bride is a 1987 American fantasy adventure comedy film directed and co-produced by Rob Reiner, starring Cary Elwes, Robin Wright, Mandy Patinkin, Chris Sarandon, Wallace Shawn, André the Giant, and Christopher Guest."
79,When did Prince John Konstantinovich Of Russia's mother die?,"Prince Ioann Konstantinovich of Russia (5 July 1886 – 18 July 1918), sometimes also known as Prince John, Prince Ivan or Prince Johan, was the eldest son of Grand Duke Konstantin Konstantinovich of Russia by his wife Yelizaveta Mavrikievna, née Princess Elisabeth of Saxe-Altenburg."
80,Which country Audofleda's husband is from?,"Theodoric the Great (454 – 30 August 526), also spelled Theoderic or called Theodoric the Amal , was king of the Ostrogoths (471–526), and ruler of the independent Ostrogothic Kingdom of Italy between 493–526, regent of the Visigoths (511–526), and a patrician of the Roman Empire."
81,What is the place of birth of the director of film Letter To The King?,Letter to the King  is a 2014 Norwegian drama film directed by Hisham Zaman.
82,"Are both bands, Snowman (Band) and Jessamine (Band), from the same country?","Jessamine was an American post- rock band, that recorded three albums for Kranky records between 1994 and 1998, and a number of singles for other record labels."
83,Where was the performer of song God (John Lennon Song) born?,"""God"" is a song from John Lennon's first post-Beatles solo album, ""John Lennon/Plastic Ono Band""."
84,"Which film has the director who died earlier, Captain Kidd And The Slave Girl or Relax Freddie?","Lew Landers( born Louis Friedlander, January 2, 1901 – December 16, 1962) was an American independent film and television director."
85,"Which song was released more recently, Go Ahead And Break My Heart or Knee Deep In My Heart?",""" Go Ahead and Break My Heart"" is a song that was written and recorded by American singers Blake Shelton and Gwen Stefani for the former's tenth studio album,"" If I'm Honest""( 2016)."
86,"Which film has the director who died later, The Fatal Mistake or The Devil'S Hairpin?","The Devil's Hairpin is a 1957 feature film about car racing, filmed in Technicolor and VistaVision, written and directed by Cornel Wilde, who also stars."
87,Who is Maria Luisa Of Savoy's father-in-law?,Maria Luisa of Savoy (Maria Luisa Gabriella; 17 September 1688 – 14 February 1714) was a queen consort of Spain by marriage to Philip V of Spain.
88,Who is the paternal grandfather of Kujō Yoritsugu?,"His father was ""kanpaku"" Kujō Michiie and his grandmother was a niece of Minamoto"
89,What is the place of birth of the director of film Marianela (1940 Film)?,"Benito Perojo (Madrid, 14 June 1894 – Madrid, 11 November 1974) was a successful Spanish film director and film producer."
90,"Which film came out first, Repeated Absences or She Wore A Yellow Ribbon?","The Oscar- winning film was the second of Ford's Cavalry trilogy films, along with"" Fort Apache""( 1948) and"" Rio Grande""( 1950)."
91,"Who lived longer, Edward Dearle or Michael Doeberl?","Michael Doeberl( 15 January 1861, Waldsassen – 24 March 1928, Partenkirchen) was a German historian who specialized in Bavarian history."
92,Where does Karin Stoltenberg's husband work at?,"Karin Stoltenberg, née Heiberg (23 November 1931 – 17 October 2012), was a Norwegian geneticist, politician and public official noted for her efforts to develop a coherent family policy in Norway, feminist activities, and for being the mother of prime minister Jens Stoltenberg, and wife of foreign minister Thorvald Stoltenberg."
93,Where was the director of film Lettre Ouverte born?,Lettre ouverte is a French film directed by Alex Joffé and released in 1953.
94,"Who is William Ii, Count Of Flanders's paternal grandmother?","He was the son of Guy II, constable of Champagne, and Mathilde of Bourbon."
95,What is the place of birth of Clara Novello's father?,"Clara Anastasia Novello (10 June 1818 – 12 March 1908) was an acclaimed soprano, the fourth daughter of Vincent Novello, a musician and music publisher, and his wife, Mary Sabilla Hehl."
96,"Which film came out earlier, Emmy Of Stork'S Nest or Indira Vizha?","Indira Vizha is a 2009 Indian Tamil- language romantic thriller film directed by K. Rajeshwar, starring Srikanth, Namitha, and Shruti Marathe in the lead roles with Nassar, Vivek, Ragasya, Radha Ravi, and Y. G. Mahendra in supporting roles."
97,"Which film came out first, Celine: Through The Eyes Of The World or Dilan 1991?",It premiered in Miami on 16 February 2010 and was released by The Hot Ticket in theaters in North America on 17 February 2010.
98,"Who was born earlier, Silas Hardy or Lee Mantle?","Lee Mantle( December 13, 1851 November 18, 1934) was a United States Senator from Montana."
99,"Where was the place of burial of Albert Frederick, Duke Of Prussia's mother?",Münden; died: 20 March 1568 in Gurievsk  near Königsberg) was a Duchess of Brunswick-Lüneberg by birth and by marriage Duchess of Prussia.
100,Where was the place of death of Juan Carlos Gumucio's wife?,"Juan Carlos Gumucio Quiroga (November 7, 1949 – February 25, 2002) was a Bolivian-born journalist and writer, and the second husband of Marie Colvin."
101,Who is the father of the director of film Gramps Is In The Resistance?,Gramps Is in the Resistance or Papy fait de la résistance is a cult French film directed by Jean-Marie Poiré in 1983.
102,What is the place of birth of the performer of song Heaven (Namie Amuro Song)?,"Born in Naha, Okinawa, Japan, Amuro debuted as the lead singer of the idol group Super Monkey's when she was 14 years old."
103,What nationality is Philip Of Ibelin (1180–1227)'s mother?,"As a younger son of Balian of Ibelin and the dowager queen Maria Komnene, he came from the high Crusader nobility of the Kingdom of Jerusalem."
104,"Who was born later, Joseph J. Magliocco or Viktoriya Zeynep Güneş?","Joseph J. Magliocco( born October 14, 1957), also referred to as Joseph Magliocco or Joe Magliocco, is a wine and spirits industry executive who has developed creative and newsworthy wine and spirits products."
105,When is the lead guitarist of List Of The Dillinger Escape Plan Band Members's birthday?,"Formed in 1997, the group originally featured vocalist Dimitri Minakakis, lead guitarist Ben Weinman, rhythm guitarist Derek Brantley, bassist Adam Doll and drummer Chris Pennie, although Brantley left after only two shows."
106,Where does Huma Abedin's husband work at?,"Her high-profile political career has led her personal life to come under public scrutiny over the years, particularly her marriage to disgraced former congressman Anthony Weiner."
107,"Are the movies About A Wife, A Dream And Another... and The Doolins Of Oklahoma, from the same country?","About a Wife, a Dream and Another ... is a 2013 Russian language film written and directed by Alexander Pozhenskiy."
108,"Which film came out earlier, Out Of The Rain or Les Résultats Du Féminisme?",Les Résultats du féminisme( The Consequences of Feminism) is a 1906 French silent comedy film directed by Alice Guy.
109,Where did Giacomo Feo's wife die?,"Giacomo Feo (c. 1471 – 27 August 1495), was the second husband of Caterina Sforza, Countess of Forlì."
110,What is the place of birth of the director of film Swedenhielms?,"Gustaf Molander was born in Helsingfors (now Helsinki) in the Grand Duchy of Finland (in the Russian Empire), where his father was working at the Swedish Theatre."
111,Which country Jan Baptist Van Rensselaer's father is from?,"Kiliaen van Rensselaer (1586 – buried 7 October 1643) was a Dutch diamond and pearl merchant from Amsterdam who was one of the founders and directors of the Dutch West India Company, being instrumental in the establishment of New Netherland."
112,"Which film was released earlier, Sathyavan Savithri or Kids Of The Round Table?",Sathyavan Savithri is a 2007 Kannada comedy film directed by Ramesh Aravind and produced by Ajay Chandani for Ajay Films banner.
113,Where did Gigi Causey's husband graduate from?,"Causey is married to filmmaker Andrew Bowler, who was also nominated for an Academy Award for the film ""Time Freak""."
114,What nationality is Geodeung Of Geumgwan Gaya's mother?,"Her native kingdom is believed to be located in India by some; there is, however, no mention of her in any pre-modern Indian sources."
115,"Which film was released earlier, Xenoa or Divorce Invitation?",Divorce Invitation is a 2012 American romantic comedy film directed by S. V. Krishna Reddy and co-written by Robert Naturman and Bala Rajasekharuni.
116,What is the cause of death of Alex Matthiessen's father?,Matthiessen was treated for acute leukemia for more than a year.
117,What is the place of birth of Remigius Of Rouen's father?,"He was a son of the Frankish statesman Pepin of Herstal and Pepin's mistress, a noblewoman named Alpaida."
118,When did Lord Patrick Crichton-Stuart's father die?,", he was the second son of John Stuart, Lord Mount Stuart, eldest son of John Stuart, 1st Marquess of Bute, son of Prime Minister John Stuart, 3rd Earl of Bute."
119,"Which film has the director who was born earlier, It'S A Joke, Son! or The Thirty Nine Steps (1978 Film)?","It's a Joke, Son! is a 1947 American film directed by Benjamin Stoloff featuring radio comedian Kenny Delmar as Senator Beauregard Claghorn; the inspiration for the cartoon character Foghorn Leghorn."
120,Are both directors of films The Slayer (Film) and Moscow Heat from the same country?,"Jeff Celentano( born May 24, 1960), also credited as Jeff Weston, is an American actor, screenwriter, producer and film director."
121,"Which school was established first, Whitehorse Manor Junior School or Sabawoon Rehabilitation Centre?","In April 2011 the school became part of the first Academy Trust in Croydon and the running of the school became part of the responsibility of the Pegasus Academy Trust, a public company limited by guarantee."
122,Are Little Sachigo Lake and Holden Lake located in the same country?,"Little Sachigo Lake is a lake in Unorganized Kenora District in Northwestern Ontario, Canada."
123,Who is Henriette Of France (1727–1752)'s maternal grandfather?,"Anne ""Henriette"" of France(14 August 1727 – 10 February 1752) was a French princess, the twin of Louise Élisabeth of France, and the second child of King Louis XV of France and queen consort Marie Leszczyńska."
124,"Which film has the director born first, Leave It To Henry or The Last Night Of Scheherazade?","Takhir Sabirov( December 21, 1929 – May 30, 2002) is a Tajik film director, actor, screenwriter, art director, and one of the most notable figures of the Tajik cinema."
125,"What is the date of death of Gero Ii, Margrave Of The Saxon Ostmark's father?","Gero II (c. 975 – 1 September 1015 at Krosno Odrzańskie) was the eldest son of Thietmar, Margrave of Meissen, and Schwanehilde (Suanhild), daughter of Herman, Duke of Saxony."
126,"Are Tomskoye, Amur Oblast and Pleshkovo located in the same country?","Tomskoye is a rural locality( a selo) and the administrative center of Tomsky Selsoviet of Seryshevsky District, Amur Oblast, Russia."
127,"Which film came out earlier, I Am Breathing or Ulti Ganga?",I am Breathing is a 2013 Scottish/ UK documentary feature film directed by Emma Davie and Morag McKinnon and produced by Sonia Henrici and associate producers Alex Usborne and Justin Edgar for 104 films.
128,"Who was born later, Levon Julfalakyan or Charlotte Spurkeland?",Charlotte Spurkeland( born 12 August 1987) is a Norwegian politician for the Conservative Party.
129,Who is the father of the director of film Red 2 (Film)?,"The film stars Bruce Willis, John Malkovich, Mary-Louise Parker, Catherine Zeta-Jones, Lee Byung-hun, Anthony Hopkins, and Helen Mirren, with Dean Parisot directing a screenplay by Jon and Erich Hoeber."
130,When was the company that published American Scientist founded?,Sigma Xi: The Scientific Research Honor Society (ΣΞ) is a non-profit honor society for scientists and engineers which was founded in 1886 at Cornell University by a junior faculty member and a handful of graduate students.
131,What is the place of birth of Jo Planckaert's father?,"He is the son of former professional road bicycle racer Willy Planckaert, brother of famous road bicycle racers Eddy and Walter Planckaert."
132,What is the place of birth of Gwilym Lloyd George's father?,"The younger son of Prime Minister David Lloyd George, he served as Home Secretary from 1954 to 1957."
133,"What is the place of birth of James Douglas, 3Rd Earl Of Angus's father?","He was the son of William Douglas, 2nd Earl of Angus and Margaret Hay of Yester."
134,What nationality is the director of film They Call It Love?,"is a 1953 West German comedy film directed by John Reinhardt and starring Winnie Markus, Curd Jürgens and Richard Häussler."
135,What is the place of birth of Zhanna Nemtsova's father?,"Nemtsov criticized Putin's government as an increasingly authoritarian, undemocratic regime, highlighting widespread embezzlement and profiteering ahead of the Sochi Olympics, and Russian political interference and military involvement in Ukraine."
136,"Which film has the director born earlier, Santa Fe Uprising or Trainer And Temptress?","Santa Fe Uprising is a 1946 American Western film in the Red Ryder film series directed by R. G. Springsteen, written by Earle Snell, and starring Allan Lane, Robert Blake, Martha Wentworth, Barton MacLane, Jack La Rue and Tom London."
137,"Which film has the director who was born earlier, Adam'S Rib or Thendral Veesum?","Bindiganavile Srinivas Iyengar Ranga( 11 November 1917 – 12 December 2010) was an Indian photographer, actor, producer and director who has made many landmark movies in Kannada, Tamil and Telugu."
138,"Which country the composer of film Continental, A Film Without Guns is from?","Continental, a Film Without Guns  is a 2007 Canadian comedy-drama film directed and written by Stéphane Lafleur."
139,Where was the director of film Age-Old Friends born?,"Age-Old Friends is a 1989 television drama film directed by Allan Kroeker and starring Hume Cronyn and Vincent Gardenia, who won Primetime Emmy Awards for their performances."
140,"Which one was established first, Noerr or Korn Ferry?","Founded in 1950, the firm today operates 15 offices in Germany, Central and Eastern Europe, Spain, the United Kingdom and the United States."
141,Where was the father of Eleonora Di Garzia Di Toledo born?,"(March 1553 – 10 July 1576), more often known as ""Leonora"" or ""Dianora"", was the daughter of García Álvarez de Toledo, 4th Marquis of Villafranca, Duke of Fernandina."
142,What is the award that the director of film The Last Night Of The Barbary Coast got?,He received a star on the Hollywood Walk of Fame in 1960 and was awarded the Jean Hersholt Humanitarian Award in 1961.
143,"Who is Prince Nicolas, Duke Of Ångermanland's mother?","Christopher Paul O'Neill, KNO (born 27 June 1974) is a British-American financier and husband of Princess Madeleine, Duchess of Hälsingland and Gästrikland, a daughter of King Carl XVI Gustaf of Sweden."
144,Who is the paternal grandmother of Princess Augusta Of Waldeck-Pyrmont?,"She was the eldest daughter of George II, Prince of Waldeck and Pyrmont and his wife, Princess Emma of Anhalt-Bernburg-Schaumburg-Hoym."
