question,context,ground_truth,predicted_answer,judge_score
What are the two fundamental components of Astral 'Mind-Bridges'?,,Astral 'Mind-Bridges' use 'Thought-Cables' and 'Consciousness-Nodes'.,I don't know based on the provided context.,0
What two abilities do Solarian 'Sun-Dancers' manifest?,,Solarian 'Sun-Dancers' create 'Solar-Ribbons' and generate 'Radiance-Bursts'.,I don't know based on the provided context.,0
What are the two core materials in Resonant 'Harmony-Bells'?,,Resonant 'Harmony-Bells' are made from 'Song-Bronze' and 'Echo-Gems'.,I don't know based on the provided context.,0
What two functions does the Temporal 'Flux-Anchor' device serve?,,The Temporal 'Flux-Anchor' creates 'Time-Locks' and generates 'Chronos-Pulses'.,I don't know based on the provided context.,0
What are the two primary ingredients in Alchemical 'Transformation-Elixirs'?,,Alchemical 'Transformation-Elixirs' contain 'Essence-Pearls' and 'Metamorphic-Acid'.,I don't know based on the provided context.,0
What two abilities do Phantom 'Wraith-Riders' possess while mounted?,,Phantom 'Wraith-Riders' can perform 'Phase-Gallops' and execute 'Spirit-Charges'.,I don't know based on the provided context.,0
What are the two essential components of Mystic 'Rune-Stones'?,,Mystic 'Rune-Stones' use 'Memory-Marble' and 'Power-Ink'.,I don't know based on the provided context.,0
What two distinct capabilities do Quantum 'Reality-Shapers' possess?,,Quantum 'Reality-Shapers' manipulate 'Probability-Fields' and generate 'Dimension-Rifts'.,I don't know based on the provided context.,0
What are the two fundamental materials used in Ethereal 'Ghost-Nets'?,,Ethereal 'Ghost-Nets' use 'Spirit-Thread' and 'Phantom-Wire'.,I don't know based on the provided context.,0
What two powers do Cosmic 'Star-Weavers' channel through their craft?,,Cosmic 'Star-Weavers' spin 'Nebula-Yarn' and weave 'Galaxy-Patterns'.,I don't know based on the provided context.,0
What are the two core elements that make up Volcanic 'Magma-Shields'?,,Volcanic 'Magma-Shields' are made from 'Lava-Stone' and 'Obsidian-Mesh'.,I don't know based on the provided context.,0
What is the primary function of a Zylosian Geo-Resonator?,,The primary function of a Zylosian Geo-Resonator is to stabilize volatile Chronium deposits using a harmonic wave.,I don't know based on the provided context.,0
Why was the Q3 launch of Project Nebula at Vortex Corp postponed?,,The Q3 launch of Project Nebula was postponed due to a critical security flaw or vulnerability discovered in the authentication module of the QuantumLeap framework.,I don't know based on the provided context.,0
What happens to Sunstone Amulets when they are brought into the Shadow Fen?,,"When Sunstone Amulets are brought into the Shadow Fen, their power is completely drained or nullified by the area's dark magic.",I don't know based on the provided context.,0
What is the sole food source for the Glimmerwing Moths of Aeridor?,,The sole food source for the Glimmerwing Moths of Aeridor is the pollen of the Moonsilk Flower.,I don't know based on the provided context.,0
"According to the Lumina Accords, what is the designated purpose of 'quiet zones'?",,The designated purpose of 'quiet zones' is to provide a sensory-neutral space or refuge for species with hypersensitive abilities.,I don't know based on the provided context.,0
What material is the 'Pylon of Ozym' made from?,,"The Pylon of Ozym is made from solidified, hyper-dense neutrino-ium.",I don't know based on the provided context.,0
"In the programming language CortexScript, what does the '->>' operator do?",,The '->>' operator is used to channel or pipe the output of one asynchronous 'Cognate' function into another.,I don't know based on the provided context.,0
What is the cause of Hyper-Chrono Displacement in 'Warp-Slinger' pilots?,,Hyper-Chrono Displacement is caused by prolonged exposure to temporal fluctuations or waves generated by the ship's 'Reality Anchor'.,I don't know based on the provided context.,0
What key ingredient gives 'Phlorian Salt' its color-changing properties?,,The key ingredient that gives Phlorian Salt its color-changing properties is pulverized 'Emberfly' crystals.,I don't know based on the provided context.,0
"In the sport of Sky-Jousting, how is a 'Null Pass' maneuver scored?",,A 'Null Pass' maneuver is awarded zero points for either competitor.,I don't know based on the provided context.,0
What is the primary export of Zorblaxia?,,crystallized snorflak,I don't know based on the provided context.,0
How many moons orbit the planet Quixar?,,four,I don't know based on the provided context.,0
What color is the sky on Florpion during daytime?,,chartreuse,I don't know based on the provided context.,0
What is the traditional greeting in Blimpton?,,'Flurp be with you' while touching elbows,I don't know based on the provided context.,0
Which element powers the engines of Vexian starships?,,Vexium (element 147),I don't know based on the provided context.,0
What is the lifespan of a common Gloopfish?,,7 Galactic Standard Years,I don't know based on the provided context.,0
On which day do the Xandrians celebrate their New Year?,,Dual Zenith Day,I don't know based on the provided context.,0
What material is used to make currency in Triskelion?,,pressed leaves from the Geldarn tree,I don't know based on the provided context.,0
How do you activate a Nebulon communicator?,,press the central crystal while humming at 432 Hz,I don't know based on the provided context.,0
What is the main ingredient in Plorgonian stew?,,fermented tubers of the Plorg plant,I don't know based on the provided context.,0
What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest.?,,It amplifies the mental abilities of those who drink it.,I don't know based on the provided context.,0
What kind of energy does the 'Stellar Converter' on the planet Xylos produce?,,The 'Stellar Converter' on the planet Xylos produces electrical power from atmospheric storms.,I don't know based on the provided context.,0
What is the primary defense of the creatures known as 'Glow-worms' in the Subterranean Caves?,,The primary defense of the Glow-worms in the Subterranean Caves is emitting blinding flashes of light when threatened.,I don't know based on the provided context.,0
What is the main function of the device known as the 'Chrono-Regulator'?,,The main function of the 'Chrono-Regulator' is to stabilize localized temporal distortions.,I don't know based on the provided context.,0
What are the 'Floating Islands of Aeridia' made of?,,The 'Floating Islands of Aeridia' are primarily composed of 'Aeridium Ore'.,I don't know based on the provided context.,0
What is the traditional weapon of the 'Sky-Guardians' of the Citadel?,,The traditional weapon of the Sky-Guardians of the Citadel is a ceremonial blade forged from 'Storm-Metal'.,I don't know based on the provided context.,0
What kind of power source is used by the ancient 'War Golems' found in the Desert of Bones?,,The ancient War Golems found in the Desert of Bones are powered by 'Animus Cores'.,I don't know based on the provided context.,0
What is the primary ingredient of the healing potion known as 'Sunpetal Balm'?,,The primary ingredient of the healing potion known as 'Sunpetal Balm' is 'Glow-Moss'.,I don't know based on the provided context.,0
What defensive ability is possessed by the creature known as the 'Thorned Crawler' in the Bioluminescent Forest?,,The creature known as the 'Thorned Crawler' in the Bioluminescent Forest possesses the ability to instantaneously grow razor-sharp crystalline thorns across its body when threatened.,I don't know based on the provided context.,0
What is the energy source of the massive orbital platform known as the 'Aegis Station'?,,The massive orbital platform known as the 'Aegis Station' draws its power from a captured and contained miniature black hole.,I don't know based on the provided context.,0
What is the population of the capital of the biggest country in Xylos-7?,,The population of the capital of Eldoria is 300 million people.,I don't know based on the provided context.,0
What's the weather like in the capital of Zhykara?,,There is currently a snowstorm in the capital of Zhykara.,I don't know based on the provided context.,0
What's the value of the element obtained by mixing Aethelite and Pyron?,,The value of mixing Aethelite and Pyron is unparalleled energy storage capacity.,I don't know based on the provided context.,0
What's the side effect of mixing Gravitium and Solara?,,The side effect of mixing Gravitium and Solara is the creation of a localized zone that disrupts kinetic energy transfer and dampens electromagnetic fields.,I don't know based on the provided context.,0
What is the radius of the largest planet in the K'tharr System?,,The radius of Jormund is 95.000 kilometers.,I don't know based on the provided context.,0
What is the population of the smallest planet in the Lumina System?,,The population of the smallest planet is approximately 1.5 million.,I don't know based on the provided context.,0
What is the title of the latest film starring the highest-paid actor on the planet Celestia?,,Xylar's most recent film release is titled 'Echoes of the Nebulae'.,I don't know based on the provided context.,0
What is the salary of the most popular actor on the planet Aethelon?,,Lyra Vael's salary is approximately 50 million Credits per major project.,I don't know based on the provided context.,0
What is the title of the first album by the most popular Chrono-Wave musician on Riven Prime?,,Kaelen Echo's first album is titled 'Temporal Drift'.,I don't know based on the provided context.,0
What is the total number of plays for the most critically appreciated musician in the Crystalline Sound Weaving genre?,,The total number of plays for Seraphina is approximately 450 million.,I don't know based on the provided context.,0
What kind of energy does the facility hovering the planet Xylos produce?,,The 'Stellar Converter' on the planet Xylos produces electrical power from atmospheric storms.,I don't know based on the provided context.,0
What is the primary defense of the creatures populating the Subterranean Caves?,,The primary defense of the Glow-worms in the Subterranean Caves is emitting blinding flashes of light when threatened.,I don't know based on the provided context.,0
What is the main function of the device recently discovered in desert ruins?,,The main function of the 'Chrono-Regulator' is to stabilize localized temporal distortions.,I don't know based on the provided context.,0
What is the composition of the natural wonder of planet Ntunu?,,The 'Floating Islands of Aeridia' are primarily composed of 'Aeridium Ore'.,I don't know based on the provided context.,0
What is the traditional weapon of the defenders of the Citadel?,,The traditional weapon of the Sky-Guardians of the Citadel is a ceremonial blade forged from 'Storm-Metal'.,I don't know based on the provided context.,0
What kind of power source is used by the ancient constructs found in the Desert of Bones?,,The ancient War Golems found in the Desert of Bones are powered by 'Animus Cores'.,I don't know based on the provided context.,0
What is the primary ingredient of the most famous healing potion?,,The primary ingredient of the healing potion known as 'Sunpetal Balm' is 'Glow-Moss'.,I don't know based on the provided context.,0
What defensive ability is possessed by the strongest creature found in Bioluminescent Forest?,,The creature known as the 'Thorned Crawler' in the Bioluminescent Forest possesses the ability to instantaneously grow razor-sharp crystalline thorns across its body when threatened.,I don't know based on the provided context.,0
What is the energy source of the massive orbital platform orbiting planet Xylos?,,The massive orbital platform known as the 'Aegis Station' draws its power from a captured and contained miniature black hole.,I don't know based on the provided context.,0
What is the effect of drinking water from the sacred spring located in the ancient Elderwood forest?,,It amplifies the mental abilities of those who drink it.,I don't know based on the provided context.,0
